hitandrun epigenetic editing prevents senescence entry primary breast cells healthy donors rnaseq
repression stressinduced line1 expression protects cancer cell populations lethal drugexposures rnaseq
alloimmune responses humanized mice human pluripotent stem cell therapeutics
transcriptome analysis fkbp25 sirnaknockdown cultured hek cells
human embryonic stem cells contribute embryonic extraembryonic lineages mouse embryos inhibition apoptosis
identification downstream genes regulated yap1 knockdown overexpression yap1 u251 cell stably expression mutant app
rnaseq analysis chemotherapy radiation therapynave breast tumors
hmtr4 plays central role creating balanced nuclear rna pools degradation export vi
human es cellderived hepatoblasts optimal lineage stage hcv infection
cd95l derived si shrnas kill cancer cells rnai mechanism targeting survival genes
cd95l derived si shrnas cd95l mrna kill cancer cells rnai mechanism targeting survival genes
sumoylation regulates mir34bc targeted gene expression program rnaseq
gene expression changes associated high density collagen microenviroment cancer cells
cd95l derived si shrnas kill cancer cells rnai mechanism targeting survival genes
cd95l derived si shrnas kill cancer cells rnai mechanism targeting survival genes
rna sequencing compare gene expession hepatic stellate cells soft pa stiff pa polyacrylamide hydrogels
next generation sequencing human monocyte derived dendritic cells stimulated two hours lps c5a andor msk inhibitor sb747561
phosphatidylinositol 3kinase pathway potential therapeutic target bladder cancer
transcripotome analysis different locations hair follicles bulb bulge androgenetic alopecia
gene expression control dock8 crispr khyg1 nk cells
targeted inhibition stattet1 axis potent therapeutic strategy acute myeloid leukemia
genomewide rna deep sequencing cal101 akti primed human cells comparison traditionally expanded cells
largescale lowcost ngs library preparation using robust tn5 purification tagmentation protocol i5i7
largescale lowcost ngs library preparation using robust tn5 purification tagmentation protocol polya
wholetranscriptome brain expression exonusage profiling major depression suicide
polya rnaseq hct116 wt cdk8asas cells normoxia hypoxia treated dmso 3mbpp1
stapled peptide inhibitors rab25 target contextspecific phenotypes cancer
whole transcriptome sequencing data gbscc patients india
genome expression analysis lung progenitors matured presence constitutively active pharmacologically inhibited glycogen synthase kinase
role histone demethylase kdm5c superenhancer activation
effects inhibition cdk819 mediator kinase senexin hct116 cells treated without tnfalpha
effects inhibition cdk819 mediator kinase senexin hek293 cells treated without tnfalpha
rnaseq human meningioma samples
deep sequencing transcript levels pluripotent stem cells differentiated derivatives three germ layers
expression profiles four human major ectodermal lineages
rna seq pancreatic cancerassociated fibroblasts
prdm1 inhibits proliferation human colon cancer organoids
brca1mimetic compound inhits ikkb expression reducing estrogen receptor alpha occupancy ikkb promoter inhibts nfb activity antiestrogen resitant human breast cells
existing blood transcriptional classifiers accurately discriminate active tuberculosis latent infection south indian cohort
genomewide dosedependent inhibition histone deacetylases reveals roles enhancer remodeling suppression oncogenic superenhancers
measuring effect myc transcription dna doublestrand break response rnaseq newly synthesized transcripts
exploring gene expression profile upon fxr1 knockdown h358 cells using rnaseq
intrinsic plasma cell differentiation defects benta patient cells
whole transcriptome analysis ipscderived hepatic organoids cultures
transcriptomic analysis underly heterogeneity cellular models derived patients diagnosed pediatric highgrade gliomas controlled atmosphere modulation oxygen level
unified activation mechanism mrna end processing splicing mediated sr superfamily proteins
rna missplicing fuchs endothelial corneal dystrophy
transcriptional changes naturallyacquired zika virus infection render dendritic cells highly conducive viral replication
gene expression profile multiple myeloma cell lines treated cb5083
ancestry potential modifier gene expression breast tumors colombian women
arid1a arid1b loss hct116 cells
obstructed defecation enteric neuropathy exploratory study patient samples
rnaseq analysis role hbo1 kat7myst2 ovarian cancer cell line uwb1289
arid1a arid1b loss tov21g cells
serpina3 novel keratinocyte differentiation promotor mediates epidermal barrier repair response psoriatic lesion
atf6 safeguards organelle homeostasis cellular aging human mesenchymal stem cells
early transcriptome profiling micrornamediated neuronal reprogramming rnaseq timecourse
transcriptome profiling day micrornamediated neuronal reprogramming rnaseq d30
baseresolution mapping reveals distinct classes n1methyladenosine methylome nuclear mitochondrialencoded transcripts
molecular analysis highgrade serous ovarian carcinoma without associated serous tubal intraepithelial carcinoma rnaseq
vhlhif2a axis alters transcriptomic profiles ccrcc
transcriptomics profiles patientmatched normal kidney ccrcc pairs
kshv virf3 promotes angiogenesis lymphatic endothelial cells lecs
transcriptional profiling identifies differential expression long noncoding rnas jo1 associated inclusion body myositis
epigenetic silencing dualrole signal mediator angptl4 tumor tissue overexpression urothelial carcinoma microenvironment
developmental stage specific chromosome architecture human erythroid cells rnaseq
targeting androgen receptor nterminus via cochaperone bag1l rnaseq cterminal mutant
effect fgf13 depletion h460 cell line
rnasequencing human liver tissue
rnaseq neutrophils antiphospholipid syndrome
zika virus oncolytic activity glioblastoma stem cells
mtor kinase inhibition effectively decreases progression subset neuroendocrine tumors progress rapalog therapy delays cardiac impairment
transcriptome analysis micrornas profile mesodermal ipscs derived progenitors
strandoriented rnaseq lncap prostate cancer cells culture 24h presence androgen
genomic analysis nasopharyngeal carcinoma reveals tmebased subtypes
transcriptome analysis human airway epithelium infected human bocavirus
bach2 human plasma cell fate decision
highthroughput drug screening identifies pazopanib clofilium tosylate effective treatments malignant rhabdoid tumors
radiolabelingfree qpcrbased method locusspecific pseudouridine detection
rna sequencing macrophages derived monocytes differentiated presence mcsf gmcsf heat killed mycobacteria obuense
cooperative antagonistic transcriptional regulation brgbrm rnaseq
zfx acts transcriptional activator multiple types human tumors binding downstream transcription start sites majority cpg island promoters
transcriptional profiling unravels enhanced xenobiotic metabolism skin patients atopic dermatitis ichthyosis vulgaris
rna seqa375 gsmarcb1 a549 etoposide aurora kinases inhibitors treated
transcription factor activating protein synthetically lethal master regulator mycnamplified neuroblastoma
transcription factors stress response gene alterations human keratinocytes following solar simulated ultra violet radiation
first critical repressive h3k27me3 marks embryonic stem cells identified using designed protein inhibitor
rnaseq analysis tfcp2l1cp2regulated genes human escs
igg immunocomplexes sensitize human monocytes inflammatory hyperactivity via transcriptomic epigenetic reprogramming rheumatoid arthritis
developmental pathways pervade stem cell responses evolving extracellular matrices 3d bioprinted microenvironments
ribozero gold pairedend rnaseq data postmortem tissue dorsolateral prefrontal cortex autism spectrum disorder samples healthy control samples
csl rnaseq hkc scc cell lines
mutant p53 shapes enhancer landscape cancer cells response chronic immune signaling
rnaseq analysis effect tfcp2l1 knockdown human esc maintenace
rnaseq fshd control immortalised myoblasts
patientderived hipsc neurons heterozygous cntnap2 deletions display altered neuronal gene expression network activity
next generation sequencing lung primary fibroblast responding products
ptp4a1 phosphatase overexpressed systemic sclerosis fibroblasts promotes tgfb signaling
rnaseq analysis ipscderived heptocytes mutations nr1h4
spontaneous generation novel fetal human retinal pigment epithelium rpe cell line available investigation phagocytosis morphogenesis
mtr4zfc3h1 complex facilitates turnover unstable nuclear rnas prevent cytoplasmic transport global translational repression
neuronal ephb1 induces stat3 activation astrocytes impaired als models hs
hepatitis viral protein ns5a stabilizes growthregulatory human transcripts
modulation gene transcription epigenetics colon carcinoma cells bacterial membrane vesicles
glioblastoma stem cells infected zika virus
transcriptomal changes differentiation human ips cells pgclike cells
stranded rnaseq human mammary primary tumors er paired adjacent healthy tissues
sbf2as1 promotes tumorigenesis mirna sponge lung cancer
targeting kras mutant cancers covalent g12cspecific inhibitor
tap73 marker glutamine addiction medulloblastoma
rnaseq analysis melanoma carcinoma cells expressing foxq1
gene expression patterns define hepatocytelike cells derived different strategies rnaseq
zikv infection monocytes activates inflammasome pathways
human adult sorted live cell erythroblasts transduced sigma shrna clone trcn0000005418 targeting riok3 puromycin selection rnaseq
sequential inflammatory processes define human progression fromm tuberculosis disease
improved detection circulating epithelial cells patients intraductal papillary mucinous neoplasms
wnt target sp5 negatively regulates wnt transcriptional programs human pluripotent stem cells
transcriptome effect overexpressing ezh2 mcf7
u1 snrnp telescripting regulates sizefunction stratified human genome
transcriptional profile dermal fibroblasts patients collagen vi related muscular dystrophy
transcriptome sequencing indentifies novel bmp5 downstrem genes network ht29 cells
thyroid state regulates gene expression human whole blood cells
role fgfr1 neuronal devlopment
omics assisted nterminal proteoform protein expression profiling upon methionine aminopeptidase metap1 deletion
regulation glucocorticoid receptor via betdependent enhancer drives antiandrogen resistance prostate cancer
singlecell nanobiopsy reveals compartmentalization mrnas within neuronal cells
multidimensional blood stimulation assay reveals immune alterations underlying systemic juvenile idiopathic arthritis rnaseq
singlecell rnaseq analysis human cd14 monocytes
geneedited human kidney organoids reveal mechanisms disease podocyte development
histone variant h33 g34w substitution giant cell tumor bone link chromatin rna processing rnaseq
utxkdm6a loss enhances malignant phenotype multiple myeloma sensitizes cells ezh2 inhibition
expression changes melanoma cell lines pre mapki treatment vs postmapki resistance
rnaseq analysis fet cells treated rspo1 tgf1
expression changes melanomas pre mapki treatment vs mapki treatment
longitudinal transcriptional response endothelial cells shear stress
expression changes melanoma cell lines brafi treatment timepoints
expression changes melanoma cell lines brafi treatment timepoints
expression changes mapki resistant m229 melanoma lines cocultured pd1 overexpressing hek293t cells
transcriptome analysis reveals determinant stages controlling human embryonic stem cell commitment neuronal cells
transcriptomewide profiling polyatail length translation efficiency mrna stability using tedseq mrnaseq riboseq proseq er stress conditions
genomewide analysis herpes simplex virus type hsv1 infected cells
analysis transcriptional regulation myt1 myt1l
treatment paradigms retinal macular diseases using 3d retina cultures derived human reporter pluripotent stem cell lines
inhibition oncogenic fusion protein ewsfli1 causes g2m cell cycle arrest enhanced vincristine sensitivity ewing sarcoma
rort ror signature genes human th17 cells
5hmc gene expression data breast cancer cell lines treated antioxidant
realtime observation lightcontrolled transcription living cells
lncap treated ibet
rna sequencing analysis triple cytokinecaptured human cd4 cells
targeted rnaseq human lymphoma cell line
impeding transcription expanded microsatellite repeats deactivated cas9
highresolution genomewide dissection transcriptional regulatory activity function human cells
rnaseq tall upon long non coding rna purturbation
epigenomes transcriptomes human monocytes vivo exposure bacillus calmettegurin vaccine
global modulation signaling pathways sarm rad140 arer breast cancer xenografts
hypoxiamediated translational activation itgb3 breast cancer cells enhances tgf signalling malignant features vitro vivo
whole blood stabilization microfluidic isolation molecular characterization circulating tumor cells
epigenomes transcriptomes human macrophages ex vivo exposure mevalonate
rnasequencing
epigenomes transcriptomes human monocytes hyper igd syndrome hids patients
comprehensive analysis gene expression patterns friedreichs ataxia fibroblasts rna sequencing reveals altered levels protein synthesis factors solute carriers
gene expression profile human hepatocellular carcinoma rna sequencing
analysis transcriptional differences ifnbeta ifnb ifnlambda ifnl treated human midgestation chorionic villus explants
next generation sequencing facilitates quantitative analysis transcriptomes human u2os cells mild replication stress low dose aphidicolin aph
discovery panhistone acetyltransferase inhibitors potent antitumor activity vivo
transcriptomic profiles dental pulp cells one ccd patient allelic runx2 deletion one sexage matched unaffected individual
integrated analysis motif activity gene expression changes transcription factors
triplet nucleotide repeatbased sirnas highly toxic cancer cells
nave esrrb ipscs capacity rapid neural differentiation
identification il27 potent regulator inflammatory osteolysis associated vitamin eblended ultrahigh molecular weight polyethylene debris orthopedic implants
early changes cell subsets predict risk autoimmunity following combination immune checkpoint blockade
diurnal rhythm adipose tissue gene expression reduced obese patients type diabetes
noncanonical bcorprc11 complex represses differentiation programs human escs
dysregulation epigenetic landscape normal aging alzheimers disease rnaseq
clustering gene expression time series data using infinite gaussian process mixture model
nonsynchronized cell cycle transcriptomics u2os hela cancer cells
new insights diagnosis therapeutic options proliferative hepatoblastoma
rna sequencing facilitates quantitative analysis transcriptomes human mesenchymal stem cells differentiation human embryonic stem cells adult bone marrow mesenchymal stem cells
molecular anatomy developing human retina
differentially expressed lncrnas mrna identified seq analysis colorectal cancer patients
ribosomefree rna sequencing long noncoding rnas circular rnas lung adenocarcinoma
rna seq alagille liver biopsies
time series total rna sequencing differentiation human embryonic stem cells towards trophoblast lineage
gene expression analysis human liver progenitorlike cells culture
gata23tfap2ac transcription factor network couples human pluripotent stem cell differentiation trophectoderm repression pluripotency
adenovirus e1a terminus suppresses delayed antiviral response modulates ras signaling rnaseq
transcriptomic insights human decidual peripheral blood cd8 cells
targeting multiple effector pathways pancreatic ductal adenocarcinoma gquadruplexbinding small molecule
gene expression profiling melanoma cell lines shrnamediated knockdown jmjd2c lsd1
identification networks regulate human monocytic myeloidderived suppressor cell differentiation inflammatory macrophages
changes bone marrow innate lymphoid cell subsets monoclonal gammopathy target imid therapy
evidence rrna 2omethylation plasticity control intrinsic translational capabilities human ribosomes
transcriptional change htr8svneo cells expressed plac8egfp
transcriptomic profile circulating cd8 cells donors zikv infection
nr4a1 inhibition synergizes ibrutinib killing mantle cell lymphoma cells
singlecell transcriptome analysis maps developmental track human heart
cell function gene expression compromised type diabetes
rnaseq analysis umbilical cord blood cells upon knockdown nap1l3
transcriptome profiling a2m treated a549 cell line samples
obesity weight loss study
gene expression profiling human musculoskeletal tissue samples
transcriptional changes pancreatic cancer cells associated gemcitabine resistance
gene expression profiling study rnaseq pdx model based diffuse type gastric cancers
overexpression trem2 human gastric cancer cells
mutational landscape aggressive natural killercell leukemia drug profiling highlight jakstat signaling therapeutic target nkcell malignancies
determining mrna halflives transcriptomewide scale
hsamir371a5p hsamir518a3p regulated genes choriocarcinoma cells
rnaseq neutrophils patients intracranial aneurysms
precursors human cd4 cytotoxic lymphocytes identified singlecell transcriptome analysis scrnaseq
precursors human cd4 cytotoxic lymphocytes identified singlecell transcriptome analysis bulk rnaseq
next generation sequencing facilitates quantitative analysis wild type axl astrocytes transcriptomes
covalent inhibitor rho family inhibits migration breast cancer cells
grhl2 key lineage determining factor collaborates foxa1 establish targetable collateral pathway setting endocrine therapyresistant breast cancer rnaseq data set
dynamic reorganization nuclear architecture human cardiogenesis rnaseq
grhl2 key lineage determining factor collaborates foxa1 establish targetable collateral pathway setting endocrine therapyresistant breast cancer rnaseq data set
rnaseq analysis gene expression scramble gpr126 knockdown colon cancer cells ht29
engineered nanointerfaces microfluidic isolation molecular profiling tumorspecific extracellular vesicles
genomewide analysis stat3 diffuse large bcell lymphoma
unfolded protein response regulator atf6 promotes mesodermal differentiation
epigenomewide effects vitamind bronchial epithelial cells using atacseq rnaseq
impact lncrna last knockdown gene expression profile hct116 cells
sox10 single transcription factor based fast efficient generation oligodendrocytes human pluripotent stem cells
investigate a2m treatment human prostate cancer xenograft mice
rnaseq analysis human expandable arterial endothelial precursors eaeps expandable mesenchymal precursors emps controls
antibodies convert bone marrow trafficking microglialike cells reduce brain amyloid
total rna deep sequencing ribosomal depleted human umbilical vein endothelial cells exposed hypoxia 12h 24h kept normoxic conditions
clcn2 chloride channel mutations familial hyperaldosteronism type ii
transcriptome analysis hgc27 infection sendai virus
dna methylation state associated formation loops links hematopoietic stem cells rnaseq
triple vectors expand aav transfer capacity retina
comprehensive analysis long noncoding rna expression dorsal root ganglion reveals cell type specificity dysregulation following nerve injury human ips
intracranial aneurysm associated singlenucleotide polymorphisms alter regulatory dna human circle willis
developmental differences neonatal adult human erythropoiesis
proteotranscriptomic profiling potential e6ap targets prostate cancer cells
gene induction usp6 oncogene response interferon
deduction novel genes potentially involved osteoblasts rheumatoid arthritis using nextgeneration sequencing bioinformatic approaches
rna gquadruplex secondary structure promotes alternative splicing via rna binding protein hnrnpf
human bloodnerve barrier transcriptome
pdl1 cd274 overexpression effect glioblastoma cell line u251
hyperactive mtor mnk1 phosphorylation eif4e confer tamoxifen resistance estrogen independence selective mrna translation reprogramming
novel targeting transcription metabolism glioblastoma
genes uniquely expressed human growth plate chondrocytes uncover distinct regulatory network
impact regulatory variation across human ipscs differentiated cells rnaseq
mirnamediated targeting human cytomegalovirus reveals biological host viral targets ie2
mutations rxra activate peroxisome receptors drive urothelial proliferation
transcriptome landscape human folliculogenesis reveals oocytes granulosa cells interactions
identification prmt5dependent genes esacd24lowcd44 mcf7 cells
transcriptomes human monocytes ex vivo exposure uric acid
systematic analysis transcriptomic profile renal cell carcinoma longterm hypoxia using nextgeneration sequencing bioinformatics
rnaseq identifies diminished differentiation gene signature primary monolayer keratinocytes grown lesional uninvolved psoriatic skin
metformin regulates metabolic nonmetabolic pathways skeletal muscle subcutaneous adipose tissues older adults
differential rnaseq human nasal epithelial cells stimulated rigi ligand slr14
rna sequence isl1mscs ctrlmscs
machine learning approach integrate big data precision medicine acute myeloid leukemia rnaseq
regulation hifsignaling drives transcriptional heterogeneity glioblastoma multiforme
genomewide association analysis identifies novel susceptibility loci carpal tunnel syndrome
global transcriptomic analysis human pancreatic islets rnaseq
next generation sequencing human sma healthy control motor neurons
enzymefree digital counting endogenous circular rna molecules formalinfixed paraffinembedded tissues patients bcell malignancies
identification differentially expressed splice variants proteogenomic pipeline splicify
cellpermeable stapled peptide inhibitor estrogen receptorcoactivator interaction
cell hashing enable sample multiplexing multiplet identification superloading dropletbased single cell rnasequencing platforms
rnaseq facilitates quantitative analysis wild type rxrsilenced hepg2ntcp cell transcriptomes
patientderived organoids pdos model treatment response metastatic gastrointestinal cancers
reproducibilitybased computational framework identifies inducible enhanced antiviral dendritic cell state hiv1 elite controllers tlr perturbation bulk rnaseq
rna sequencing hpscderived cardiac progenitors endocardium
study target genes stat3
irf5 irf3 regulate distinct immune programs plasmacytoid dendritic cells
singlecell rna sequencing vascularized brain organoids
effects acute aerobic exercise skeletal muscle transcriptomics lean vs overweightobese men
translation termination factor gspt1 phenotypically relevant offtarget heterobifunctional phthalimide degraders
role sumoylation differential er transcriptional repression serms pure antiestrogens breast cancer cells
nextgeneration sequencing human dermal fibroblasts transdifferentiated towards otic lineage
response hek293 freestyle cells culture zniidepleted freestyle medium
novel atherogenic pathways differential transcriptiome analysis diabetic epicardial adipose tissue
rnaseq analyze global transcriptome changes siirf3 siyap gastric cancer cells
toxicogenomics flame retardant tris 2butoxyethyl phosphate hepg2 cells using rnaseq
sex differences late first trimester human placenta transcriptome
transcriptome profiling dedifferentiated chondrocytes overexpressing mir138 mir181ab1 osteogenic induction
valproic acid attenuates hyperglycemia induced complement coagulation cascade gene expression
mucosal transcriptome rectal biopsies treatmentnave pediatric ulcerative colitits patients
transcriptome analysis ipscderived keratinocytes without diseaseassociated tp63 mutation
ropdumpsterdivingin rnasequencing find source trillion reads across diverse adult human tissues
mutant p53 controls tumor metabolism metastasis regulating pgc1
presence meniscus tear alters gene expression profile anterior cruciate ligament tears
toxicogenomics approach screen chlorinated flame retardants tris2chloroethyl phosphate tris2chloroisopropyl phosphate potential health effects
nextgeneration rnasequencing data models ewing sarcoma modulated expression lncrna hotair
ropdumpsterdivingin rnasequencing find source trillion reads across diverse adult human tissues
gene expression profiling cutaneous cd30 lymphoproliferative disorders rnaseq
dual inhibition ezh12 depletes stem cells overactivates wnt signaling multiple myeloma rnaseq
differential gene expressions human pluripotent stem cells derived cells different culture system
cell transplantation strategies acquired inherited disorders peripheral myelin
title found page
transcriptome analysis vcap xenografts resistant dual therapy abiraterone enzalutamide
gene expression mature immature human esderived beta cells sorted betacells adult islets
novel cd4 cell population expanded systemic lupus erythematosus sle blood provides cell help il10 succinate
induction human regulatory innate lymphoid cells group innate lymphoid cells retinoic acid
rna sequencing cell subsets cd11c hi igd cells cd11c hi igd cells memory cells nave cells healthy subjects subjects systemic lupus erythematosus sle rheumatoid arthritis ra
high definition analysis host protein stability human cytomegalovirus infection reveals antiviral factors viral evasion mechanisms
commensalderived metabolite butyrate imprints antimicrobial program macrophages
effect polybrominated diphenyl ethers pbdes gene expression mcf7 cells
mrna sequence analysis apocynin treated mkn45
active translatome profiling ribolace mcf7 cells
rnasequencing reveals mechanisms human glial progenitor cells hgpcs initiate remyelination
functional separation il7rklrg1defined cd8 cell populations humans
il6 transsignaling induced gene expression airway epithelial cells
enhancer domains gastrointestinal stromal tumor regulate kit expression targetable bet bromodomain inhibition rnaseq
global distribution dna hydroxymethylation dna methylation chronic lymphocytic leukemia
identification nrf2 regulated genes rna sequencing
eif1axa113 splice ras mutations cooperate drive thyroid tumorigenesis atf4 cmyc
rna sequencing human ips derived cardiomyocytes
sequencing based maternal whole blood expression changes gestational age labor normal pregnancy
transcriptional targeting oncogene addiction medullary thyroid cancer rnaseq
singlecell map diverse immune phenotypes breast tumor microenvironment rna sequencing
mucin knockdown emm myeloma cells
derivation ventrical atrial cardiomyocytes maturation using biowires
comprehensive rnaseq profiling pbmcs als patients healthy controls
differences tissue immune cell populations following hematopoietic stem cell transplantation crohns disease patients
yylnct acts gatekeeper mesodermal transcriptional program local modulation dnmt3b human1
mriinformed muscle biopsies correlate mri pathology dux4 target gene expression fshd
network transcriptome modules demonstrates mechanistic pathways virus induced nonviral asthma exacerbations children nasal
integrative singlecell analysis reveals human germinal center dynamics desynchronized cell lymphoma
network transcriptome modules demonstrates mechanistic pathways virus induced nonviral asthma exacerbations children blood
pancreatic cancerderived exosomes induce apoptosis lymphocytes p38 mapk signal transduction pathway
treatment melanoma cell lines ccg222740
sexspecific gene expression differences evident human embryonic stem cells vitro differentiation human placental progenitor cells
code monophosphorylation modulates function rb
intermittent drug treatment brafv600e melanoma cells delays resistance sensitizing cells rechallenge
profiling vascular organoid endothelial cells pericytes ips cells
rest neural gene network dysregulation ips cell models alzheimers disease rnaseq data set
cellular acidosis triggers mondoa transcriptional activity driving mitochondrial atp production
n6methyladenine dna modification glioblastoma rnaseq
targeted longread rna sequencing noncoding genomic regions associated neuropsychiatric functions
transcriptional profiling hypoxiaregulated noncoding rnas human primary endothelial cells
rnaseq unstimulated human neutrophil granulocytes
comparative analysis mesenchymal stem cells derived amniotic membrane umbilical cord chorionic plate serumfree condition
early onset preeclampsia eope model early stage human placental trophoblast
effects polybrominated diphenyl ether pbde mixture estrogen receptor positive er patientderived tumor xenograft pdx model
generation induced neural stem cells urine derived cells synthetic mrna
networkbased integration mrna mirna profiles reveals new target genes involved pancreatic cancer
cdk46 inhibitors target smarca4determined cyclin d1 deficiency hypercalcemic small cell carcinoma ovary
rnaseq lrrk2 g2019s parkinsons ipscderived astrocytes
differential expression genes ad169infected mrc5
differential expression genes fibroblasts epithelial cells infected dsdna viruses
lsd1 pharmacological inhibition set2 containing wild type mutant lsd1 rnaseq
spatial clustering common regulatory elements lead tgf induced concerted gene expression
epigenome regulation epidermal lineage commitment rnaseq
shank2 mutations associated autism spectrum disorder cause hyperconnectivity human neurons
expression profiling pancreatic adenocarcinoma ductal adenocarcinoma cell lines
thymidylate synthase maintains dedifferentiated state triple negative breast cancers
mrna sequencing oropharyngeal cancer cell lines
chronic inflammation permanently reshapes tissueresident immunity celiac disease
primary midtrimester term human cytotrophoblast untreated rnaseq
differential expressed genes egf treated htr8svneo versus untreated control next generation sequencing
gene expression surgically treated pancreatic cancer one neoadjuvant vaccine dose
mean expression levels rna cells receiving wtcas9 mutant cas9 along grna targeting miat locus
global gene expression changes cholangiocytes treated tgfbeta
hotair regulatory element modulates glioma cell sensitivity temozolomide longrange regulation multiple target genes
rnasequencing human mammary epithelial cells hmles engineered express either er ersox4 without 4oht induce nuclear translocation
transcriptomic profiling peripheral blood nk cells chronic hbv hcv hiv patients
differential expression mrnas ifngamma treated htr8svneo versus untreated control next generation sequencing
plasminogen activator inhibitor pai1 promotes actin cytoskeleton reorganization glycolytic metabolism triple negative breast cancer
gene expression profile response hif1 inhibition together ppar activation postnatal factors t3 igf1 dexamethasone hipsccms
analysis vastus lateralis muscle human subjects classified metabolic flexibility
goya dlbcl clinical trial rnaseq dataset
rna sequencing uveal melanona cells treated vs4718
singlecell rna sequencing inflammatory tissue cells eosinophilic esophagitis
interplay cjun tap73 contributes apoptosissurvival balance
illumina mrnaseq control hnrnp knockdown 293t cells
polymorphic cis transregulation human gene expression
multiple platform assessment egf dependent transcriptome microarray deep tag sequencing analysis
effect readmapping biases detecting allelespecific expression rnasequencing data
next generation sequencing human brain tissues transcriptome
ptb clipseq
regulation alternative splicing histone modifications
human variation polii nfkappab binding rnaseq study uninduced tnfalpha
understaning mechanisms underlying human gene expression variation rna sequencing
human variation polii nfkappab binding rnaseq study tnfalpha induced
rnaseq oral squamous cell carcinomas matched normal tissues
dynamic transcriptomes neural differentiation human embryonic stem cells
transcriptomewide identification rnabinding protein microrna target sites parclip sequencing data
comparative transcriptomic analysis prostate cancer matched normal tissue using rnaseq
genomewide characterization long nonpolyadenylated rnas
sageseq gene expression profiles hs578t mcf7 sum159pt cells treated stat3 nontargeting sirnas dmso cxcr2 ptgis has1 pfkfb3 jak nqo1 inhibitor
genomewide analysis somatic copy number alterations gene expression metastatic melanoma rnaseq
genomewide analysis rnas associated lin28
deep transcriptional sequencing analysis human prostate adenocarcinoma reference samples
deeptranscriptome ribonome sequencing redefines molecular networks pluripotency extracellular space human embryonic stem cells
digital gene expression dge sequencing pairs samples kidney normal tissue cancer tissue
gene expression profiling human tissue samples using sageseq
determinants nucleosome organization primary human cells
transcriptome sequencing across prostate cancer cohort identifies pcat1 unannotated lincrna implicated disease progression rnaseq data
altered antisensetosense transcript ratios breast cancer sageseq
deeptranscriptome ribonome sequencing redefines molecular networks pluripotency extracellular space human embryonic stem cells part
genomewide maps chromatin state nccit cells
altered antisensetosense transcript ratios breast cancer assage
epigenetic regulation cell typespecific expression patterns human mammary epithelium sageseq
regulation alternative splicing core spliceosomal machinery
regulation nucleosome landscape transcription factor binding enhancers brg1
transcriptomics novel trophoblast differentiation protocol applied human embryonic stem cells
parp1 ctcfmediated interactions active repressed chromatin lamina promote oscillating transcription
cterminal domain rna polymerase ii modified sitespecific methylation
reprogramming transcriptional responses functionallydistinct classes enhancers prostate cancer cells chipseq groseq
accurate identification atoi rna editing human transcriptome sequencing
cbx3 regulates efficient rna processing genome wide
quantitative analysis clip methods identifying binding sites rnabinding proteins clip
quantitative analysis clip methods identifying binding sites rnabinding proteins mrnaseq
