comparison,gse_1,gse_2,tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2
human_mouse,GSE49110,GSE93293,0.3156876657161976,9,39.883395620730546,"['C0017337', 'C0036871', 'C0079429', 'C0680730', 'C0752248', 'C1148554', 'C1160149', 'C1417679', 'C1658407']",Transcriptomic analysis of ERR alpha orphan nuclear receptor,Determination of Lsd1 function in inguinal white adipose tissue (ingWAT) by global transcriptome analysis
human_mouse,GSE92592,GSE103246,0.315559854101028,10,38.84637393575333,"['C0004793', 'C0009932', 'C0162326', 'C0162327', 'C0243148', 'C0308718', 'C0728976', 'C1519249', 'C1547100', 'C3853789']",mRNA Sequencing of Ideopathic Pulmonary Fibrosis (IPF) and Control Samples from the Lung Tissue Research Consortium (LTRC),RNAseq in control and shQk KD mouse neural stem cells
human_mouse,GSE78705,GSE66965,0.3155545479893747,18,64.04798778835612,"['C0002778', 'C0017262', 'C0017263', 'C0035668', 'C0185117', 'C0872262', 'C0920317', 'C0936012', 'C1160700', 'C1516695', 'C1516698', 'C1517486', 'C1523987', 'C1524024', 'C2936621', 'C2936622', 'C3178810', 'C4330825']",Next Generation Sequencing Analysis of control and SRSF2-/- Huh7 cells Transcriptomes,Next Generation Sequencing Analysis of Wild Type and SRSF10-/- embryonic day 13.5 heart Transcriptomes
human_mouse,GSE80829,GSE80120,0.3154220582949775,10,28.4637262057749,"['C0017262', 'C0017263', 'C0185117', 'C0752248', 'C1160700', 'C1327760', 'C1449575', 'C1513400', 'C1517486', 'C5552813']",Gene expression profiling of melanoma cell lines by RNASeq,Cell-specific gene expression profiling of warm-sensitive neurons
human_mouse,GSE77901,GSE55480,0.3152420924531821,7,26.457904424450017,"['C0887909', 'C1333224', 'C2982391', 'C3494264', 'C4086963', 'C4521304', 'C4760607']",RNA-Seq of SLNCR1 over-expression in the melanoma cell line A375,RNA-seq based characterization of long non-coding RNA involved in respiratory viruses pathogenesis
human_mouse,GSE85187,GSE72494,0.3149929902740191,6,41.45251911886285,"['C0026900', 'C0751994', 'C1705286', 'C3178810', 'C5196841', 'C5441837']",Transcriptome sequencing of K-562 cells,Effector regulatory T cell differentiation and immune homeostasis depend on the transcription factor Myb
human_mouse,GSE87456,GSE72521,0.3149807665189172,10,37.27765782540853,"['C0026661', 'C0035696', 'C0205409', 'C0750927', 'C0887945', 'C0887955', 'C1548221', 'C1764827', 'C3898448', 'C4706387']",Hypoxic transcriptome of SQ20B human head and neck cancer cells,Regulation of Lin28b and let-7 in developmental myelopoiesis
human_mouse,GSE92723,GSE78971,0.3149487594273922,14,50.596056946340354,"['C0008972', 'C0018017', 'C0557651', 'C0752248', 'C0947630', 'C1546459', 'C1705923', 'C1707455', 'C1883559', 'C2603343', 'C2930505', 'C2979882', 'C5205215', 'C5444688']",Transcriptome analysis for KDM6A mutated urothelial bladder carcinoma and EZH2 inhibitor treated KDM6A mutated urothelial bladder carcinoma,Transcriptome of WT mouse embryonic stem cells
human_mouse,GSE51984,GSE106210,0.3149362639204145,5,19.5032370914291,"['C0001675', 'C0683572', 'C0751606', 'C1706450', 'C4323874']",RNA-Seq analysis of human adult peripheral blood populations,Transcriptomic response to adult hypothalamic deletion of Snord116
human_mouse,GSE94869,GSE95141,0.314811732874675,5,14.847120085031484,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",RNA sequencing of Esophageal adenocarcinomas,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice
human_mouse,GSE76307,GSE104065,0.314785680482481,6,27.01278647368239,"['C0205615', 'C0443199', 'C1549478', 'C1705242', 'C4086963', 'C4554467']",Differential RNA-seq analysis comparing APC-defective and APC-restored SW480 colorectal cancer cells,"Differential Expression Analysis of wildtype, E12-/- and E47-/- neuronal stem cells"
human_mouse,GSE72460,GSE102317,0.3146989725959324,20,97.59436273114828,"['C0010813', 'C0017337', 'C0020964', 'C0020969', 'C0021756', 'C0079189', 'C0079429', 'C0086344', 'C0282554', 'C0851285', 'C0879590', 'C1149229', 'C1155229', 'C1417679', 'C1524094', 'C1702044', 'C1705753', 'C1879547', 'C2936254', 'C4505109']",Transcriptome of human ILC2s; primary vs IL-1b-primed,STAT5-mediated chromatin interactions in superenhancers activate IL-2 highly inducible genes: Functional dissection of the Il2ra gene locus
human_mouse,GSE73718,GSE67335,0.3146921339368457,4,15.363464141684194,"['C0726639', 'C0752248', 'C1825598', 'C4049986']",Transcriptome profiling of HEK 293T cells depleted of endogenous miRNAs,Impact of Lef1 overexpression on follicular helper T (Tfh) differentiation
human_mouse,GSE70084,GSE66828,0.3146651203575433,10,37.780209131091894,"['C0004793', 'C0026661', 'C0035696', 'C0162326', 'C0162327', 'C0887945', 'C0887955', 'C1519249', 'C3853789', 'C3898448']",RNA sequencing of mechanically strained NHEKs and control NHEKs,Amydala transcriptome changes in germ-free mice
human_mouse,GSE56785,GSE77547,0.3144754931732603,10,32.15231411505988,"['C0002793', 'C0007589', 'C0021135', 'C1159442', 'C1511938', 'C1533691', 'C2827718', 'C2945687', 'C4086963', 'C4760607']",RNA-Seq characterization of human H1-derived NPC differentiation timecourse,Complex Interdependence Regulates Heterotypic Transcription Factor Distribution and Coordinates Cardiogenesis [RNA-Seq]
human_mouse,GSE80563,GSE78974,0.3143859248179596,13,53.81723122550032,"['C0008972', 'C0018017', 'C0557651', 'C0947630', 'C1513372', 'C1546459', 'C1705923', 'C2603343', 'C2930505', 'C2936269', 'C2936621', 'C2936622', 'C2979882']",FBXO10 deficiency and BTK activation upregulate BCL2 expression in mantle cell lymphoma,Transcriptome of new DGCR8_KO mouse embryonic stem cells generated by paired CRISPR/Cas9 approach
human_mouse,GSE43835,GSE86609,0.3143354330344021,10,61.71587628529885,"['C0014239', 'C1151883', 'C1151884', 'C1151887', 'C1366644', 'C1412677', 'C1414062', 'C1414461', 'C1521863', 'C1706235']",Enhancer Transcripts Mark Active Estrogen Receptor Binding Sites,The Arcuate Estrogenome: Estrogen Response Element-dependent and -independent Signaling of ERÎ±
human_mouse,GSE81791,GSE93416,0.3142732046469956,20,98.97719546619852,"['C0001783', 'C0015435', 'C0025723', 'C0034471', 'C0376452', 'C0529085', 'C1257900', 'C1416660', 'C1418768', 'C1420322', 'C1511680', 'C1568630', 'C1882262', 'C3536933', 'C3548902', 'C3828338', 'C3850096', 'C4086963', 'C4704705', 'C5445148']",Regulation of DNA methylation landscape in human somatic cell reprogramming by miR-29 family (RNA-seq),Expression Profiling of MEFs and SKOM induced reprogramming cells after modulation of Cell cycle and Dnmt1 expression
human_mouse,GSE99313,GSE107583,0.3142115969549422,6,30.46739018853601,"['C0574390', 'C1424135', 'C1538138', 'C3272504', 'C4086963', 'C4760607']",Genome-wide analysis of YAP and TFCP2 down-regulated genes in liver cancer cells,Myc and YAP roles in the control of the cell cycle [MEF RNA-seq pharmacological treatment]
human_mouse,GSE98720,GSE73238,0.3141963068273804,5,30.207987087203502,"['C1420631', 'C1420642', 'C1451774', 'C3273648', 'C3273688']",RNA-seq Analysis of Tcf1-regulated Genes in Human ESCs,Impact of Tcf1 and Lef1 deficiency on mature CD8 thymocytes
human_mouse,GSE71012,GSE40436,0.3141906941315554,53,229.22116688888264,"['C0002780', 'C0008630', 'C0008972', 'C0010992', 'C0017260', 'C0017262', 'C0017428', 'C0018017', 'C0040649', 'C0162801', 'C0205173', 'C0441889', 'C0456079', 'C0557651', 'C0597298', 'C0600497', 'C0681836', 'C0753802', 'C0814926', 'C0936012', 'C0947630', 'C1136156', 'C1294197', 'C1334891', 'C1511726', 'C1519595', 'C1519941', 'C1524024', 'C1537811', 'C1546437', 'C1546459', 'C1547707', 'C1561491', 'C1705024', 'C1705923', 'C1710679', 'C1883725', 'C2338314', 'C2603343', 'C2930505', 'C2936624', 'C2979882', 'C3245479', 'C3539942', 'C3640979', 'C3714741', 'C3858752', 'C4086963', 'C4723641', 'C4760607', 'C5551416', 'C5551417', 'C5575003']",LIN28A modulates splicing and gene expression programs in breast cancer cells [RNA-Seq],Next Generation Sequencing Facilitates Quantitative Analysis of Cyp26b1-/-skin and En1cre;Cyp26b1f/- epidermal and dermal Transcriptomes
human_mouse,GSE105783,GSE92629,0.3141020932650328,12,34.53771734381363,"['C0008972', 'C0017262', 'C0018017', 'C0040649', 'C0557651', 'C0947630', 'C1171362', 'C1515670', 'C1705923', 'C2603343', 'C5237010', 'C5444885']",Transcriptional change of HTR8/Svneo cells over expressed with PLAC8-EGFP,Next Generation Sequencing Facilitates Quantitative Analysis of Piscor (control) and Nap1l1-shRNA expressed neural stem cell Transcriptomes
human_mouse,GSE76487,GSE70788,0.3139067439332831,6,21.537886798686102,"['C0009932', 'C0017262', 'C0243148', 'C0308718', 'C0728976', 'C1547100']",MBNL1-dependent modulation of gene expression in MDA-MB-231 breast cancer cells,"RNA sequencing of Control, ÎCop1Î², ÎCop1Î² and ÎCop1Î² ÎETV1/4/5Î² islets"
human_mouse,GSE84639,GSE90654,0.313891902852956,3,11.93130047248563,"['C0035316', 'C4086963', 'C4760607']",Enriched retinal ganglion cells derived from human embryonic stem cells (RNA-seq),RNA-seq analysis of RNA from DBA/2J retinal ganglion cells
human_mouse,GSE61290,GSE87388,0.3138679560957424,5,30.4898452875588,"['C0030297', 'C0235974', 'C0346647', 'C0346976', 'C4520964']",Myb-regulated transcriptome in pancreatic cancer,CDKN2B is an important tumor suppressor in pancreatic cancer
