ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,score_human,score_mouse,pair_type,depth_human,depth_mouse,lca_depth,tree_distance
GSE74031,GSE81941,MONDO_0007254,MONDO_0007254,3.258791416962533,2.6849691676126,matched,2,2,2,0
GSE74031,GSE85810,MONDO_0007254,MONDO_0007254,3.258791416962533,2.08764346080727,matched,2,2,2,0
GSE74230,GSE58916,MONDO_0009807,MONDO_0009807,1.6933959556698954,1.15052248565767,matched,2,2,2,0
GSE74251,GSE67634,MONDO_0024331,MONDO_0024331,1.558636939125988,1.367704553560417,matched,3,3,3,0
GSE74251,GSE96972,MONDO_0024331,MONDO_0024331,1.558636939125988,1.4424724823281152,matched,3,3,3,0
GSE74417,GSE31223,MONDO_0004989,MONDO_0004989,4.632869809410286,1.5241017579263578,matched,2,2,2,0
GSE74417,GSE41286,MONDO_0004989,MONDO_0004989,4.632869809410286,1.055383358525064,matched,2,2,2,0
GSE74417,GSE57804,MONDO_0004989,MONDO_0004989,4.632869809410286,1.5395035340354803,matched,2,2,2,0
GSE74417,GSE72480,MONDO_0004989,MONDO_0004989,4.632869809410286,2.412380440757405,matched,2,2,2,0
GSE74417,GSE72823,MONDO_0004989,MONDO_0004989,4.632869809410286,1.5232153344354988,matched,2,2,2,0
GSE74417,GSE77107,MONDO_0004989,MONDO_0004989,4.632869809410286,1.5455646026401952,matched,2,2,2,0
GSE74417,GSE86301,MONDO_0004989,MONDO_0004989,4.632869809410286,3.942355102552644,matched,2,2,2,0
GSE74484,GSE84447,MONDO_0000376,MONDO_0000376,2.080905628156405,2.502870581270334,matched,1,1,1,0
GSE74516,GSE79889,MONDO_0018177,MONDO_0018177,3.29976504896198,2.091821608152164,matched,4,4,4,0
GSE74516,GSE90459,MONDO_0018177,MONDO_0018177,3.29976504896198,4.834907786175387,matched,4,4,4,0
GSE74557,GSE79889,MONDO_0018177,MONDO_0018177,3.5951476443812607,2.091821608152164,matched,4,4,4,0
GSE74557,GSE90459,MONDO_0018177,MONDO_0018177,3.5951476443812607,4.834907786175387,matched,4,4,4,0
GSE74639,GSE104264,MONDO_0005061,MONDO_0005061,5.401752504386593,3.7650631842915256,matched,3,3,3,0
GSE74639,GSE43028,MONDO_0005061,MONDO_0005061,5.401752504386593,2.439355577406172,matched,3,3,3,0
GSE74639,GSE59831,MONDO_0005061,MONDO_0005061,5.401752504386593,4.5491169927936985,matched,3,3,3,0
GSE74639,GSE70046,MONDO_0005061,MONDO_0005061,5.401752504386593,3.8686145352827466,matched,3,3,3,0
GSE74639,GSE71629,MONDO_0005061,MONDO_0005061,5.401752504386593,1.8148397617804053,matched,3,3,3,0
GSE74639,GSE71877,MONDO_0005061,MONDO_0005061,5.401752504386593,2.423129068639251,matched,3,3,3,0
GSE74639,GSE76033,MONDO_0005061,MONDO_0005061,5.401752504386593,3.425567720763131,matched,3,3,3,0
GSE74639,GSE83991,MONDO_0005061,MONDO_0005061,5.401752504386593,4.212185261618645,matched,3,3,3,0
GSE74639,GSE87387,MONDO_0005061,MONDO_0005061,5.401752504386593,3.917809367650771,matched,3,3,3,0
GSE74698,GSE104305,MONDO_0008315,MONDO_0008315,3.480303721083865,2.1234702702272803,matched,3,3,3,0
GSE74698,GSE67681,MONDO_0008315,MONDO_0008315,3.480303721083865,2.1655671934158662,matched,3,3,3,0
GSE74698,GSE76724,MONDO_0008315,MONDO_0008315,3.480303721083865,3.360477932400424,matched,3,3,3,0
GSE74698,GSE79014,MONDO_0008315,MONDO_0008315,3.480303721083865,1.44468936594353,matched,3,3,3,0
GSE74698,GSE80083,MONDO_0008315,MONDO_0008315,3.480303721083865,4.116692168392473,matched,3,3,3,0
GSE74698,GSE81424,MONDO_0008315,MONDO_0008315,3.480303721083865,4.392281107165073,matched,3,3,3,0
GSE74698,GSE81432,MONDO_0008315,MONDO_0008315,3.480303721083865,3.0932526151389075,matched,3,3,3,0
GSE74698,GSE83298,MONDO_0008315,MONDO_0008315,3.480303721083865,4.161732494388352,matched,3,3,3,0
GSE74698,GSE83651,MONDO_0008315,MONDO_0008315,3.480303721083865,4.108459122180579,matched,3,3,3,0
GSE74698,GSE92721,MONDO_0008315,MONDO_0008315,3.480303721083865,1.7976789285190369,matched,3,3,3,0
