ID,child,parent,parent_hit
GSE66068,MONDO_0000621,MONDO_0004992,False
GSE52623,MONDO_0000621,MONDO_0004992,False
GSE80682,MONDO_0000621,MONDO_0004992,False
GSE66793,MONDO_0000621,MONDO_0004992,False
GSE75580,MONDO_0000621,MONDO_0004992,False
GSE61969,MONDO_0000621,MONDO_0004992,False
GSE47454,MONDO_0000621,MONDO_0004992,False
GSE74178,MONDO_0000621,MONDO_0004992,False
GSE75576,MONDO_0000621,MONDO_0004992,False
GSE97078,MONDO_0000621,MONDO_0004992,False
GSE58732,MONDO_0000621,MONDO_0004992,False
GSE68391,MONDO_0000621,MONDO_0004992,False
GSE69654,MONDO_0000621,MONDO_0004992,False
GSE60367,MONDO_0000621,MONDO_0004992,False
GSE72628,MONDO_0000621,MONDO_0004992,False
GSE77967,MONDO_0000621,MONDO_0004992,False
GSE55385,MONDO_0000621,MONDO_0004992,False
GSE74690,MONDO_0000621,MONDO_0004992,False
GSE84703,MONDO_0000621,MONDO_0004992,False
GSE75615,MONDO_0000621,MONDO_0004992,False
GSE72857,MONDO_0000621,MONDO_0004992,False
GSE74161,MONDO_0000621,MONDO_0004992,False
GSE42990,MONDO_0000621,MONDO_0004992,False
GSE108367,MONDO_0000621,MONDO_0004992,False
GSE72671,MONDO_0000621,MONDO_0004992,False
GSE53599,MONDO_0000621,MONDO_0004992,False
GSE45180,MONDO_0000621,MONDO_0004992,False
GSE70243,MONDO_0000621,MONDO_0004992,False
GSE66232,MONDO_0000621,MONDO_0004992,False
GSE83204,MONDO_0000621,MONDO_0004992,False
GSE81842,MONDO_0000621,MONDO_0004992,False
GSE52870,MONDO_0000621,MONDO_0004992,False
GSE89412,MONDO_0000621,MONDO_0004992,False
GSE73457,MONDO_0000621,MONDO_0004992,False
GSE46434,MONDO_0000621,MONDO_0004992,False
GSE100990,MONDO_0000621,MONDO_0004992,False
GSE109653,MONDO_0000621,MONDO_0004992,False
GSE104138,MONDO_0000621,MONDO_0004992,False
GSE99656,MONDO_0000621,MONDO_0004992,False
GSE63681,MONDO_0000621,MONDO_0004992,False
GSE72521,MONDO_0000621,MONDO_0004992,False
GSE70244,MONDO_0000621,MONDO_0004992,False
GSE88841,MONDO_0000621,MONDO_0004992,False
GSE67609,MONDO_0000621,MONDO_0004992,False
GSE69786,MONDO_0000621,MONDO_0004992,False
GSE89622,MONDO_0000621,MONDO_0004992,False
GSE107653,MONDO_0000621,MONDO_0004992,False
GSE72487,MONDO_0000621,MONDO_0004992,False
GSE83755,MONDO_0000621,MONDO_0004992,False
GSE69858,MONDO_0000621,MONDO_0004992,False
GSE77185,MONDO_0000621,MONDO_0004992,False
GSE71217,MONDO_0000621,MONDO_0004992,False
GSE78146,MONDO_0000621,MONDO_0004992,False
GSE70235,MONDO_0000621,MONDO_0004992,False
GSE87870,MONDO_0000637,MONDO_0004992,False
GSE105159,MONDO_0000637,MONDO_0004992,False
GSE81420,MONDO_0000637,MONDO_0004992,False
GSE49087,MONDO_0000637,MONDO_0004992,False
GSE81421,MONDO_0000637,MONDO_0004992,False
GSE63312,MONDO_0000637,MONDO_0004992,False
GSE49088,MONDO_0000637,MONDO_0004992,False
GSE68461,MONDO_0000637,MONDO_0004992,False
GSE77847,MONDO_0000637,MONDO_0004992,False
GSE77846,MONDO_0000637,MONDO_0004992,False
GSE80745,MONDO_0000637,MONDO_0004992,False
GSE81329,MONDO_0000637,MONDO_0004992,False
GSE72737,MONDO_0000637,MONDO_0004992,False
GSE79068,MONDO_0000637,MONDO_0004992,False
GSE48048,MONDO_0000637,MONDO_0004992,False
GSE85193,MONDO_0000637,MONDO_0004992,False
GSE90059,MONDO_0000637,MONDO_0004992,False
GSE97389,MONDO_0000637,MONDO_0004992,False
GSE74064,MONDO_0000637,MONDO_0004992,False
GSE90067,MONDO_0000637,MONDO_0004992,False
GSE90136,MONDO_0000637,MONDO_0004992,False
GSE71531,MONDO_0000637,MONDO_0004992,False
GSE74018,MONDO_0000637,MONDO_0004992,False
GSE97450,MONDO_0000637,MONDO_0004992,False
GSE90655,MONDO_0000637,MONDO_0004992,False
GSE94840,MONDO_0000637,MONDO_0004992,False
GSE88905,MONDO_0000637,MONDO_0004992,False
GSE71185,MONDO_0000637,MONDO_0004992,False
GSE78691,MONDO_0000637,MONDO_0004992,False
GSE57147,MONDO_0000637,MONDO_0004992,False
GSE87623,MONDO_0000637,MONDO_0004992,False
GSE65383,MONDO_0000637,MONDO_0004992,False
GSE74650,MONDO_0000637,MONDO_0004992,False
GSE78224,MONDO_0000637,MONDO_0004992,False
GSE100820,MONDO_0000637,MONDO_0004992,False
GSE68462,MONDO_0000637,MONDO_0004992,False
GSE96061,MONDO_0000637,MONDO_0004992,False
GSE64545,MONDO_0000637,MONDO_0004992,False
GSE45180,MONDO_0000637,MONDO_0004992,False
GSE66793,MONDO_0000637,MONDO_0004992,False
GSE80682,MONDO_0000637,MONDO_0004992,False
GSE66068,MONDO_0000637,MONDO_0004992,False
GSE75580,MONDO_0000637,MONDO_0004992,False
GSE84873,MONDO_0000637,MONDO_0004992,False
GSE72628,MONDO_0000637,MONDO_0004992,False
GSE55385,MONDO_0000637,MONDO_0004992,False
GSE97078,MONDO_0000637,MONDO_0004992,False
GSE47454,MONDO_0000637,MONDO_0004992,False
GSE52623,MONDO_0000637,MONDO_0004992,False
GSE74161,MONDO_0000637,MONDO_0004992,False
GSE74178,MONDO_0000637,MONDO_0004992,False
GSE63751,MONDO_0000637,MONDO_0004992,False
GSE61969,MONDO_0000637,MONDO_0004992,False
GSE72671,MONDO_0000637,MONDO_0004992,False
GSE77967,MONDO_0000637,MONDO_0004992,False
