ID,mondo_id,prob,log2(prob/prior),related_words,top1_score,top2_score,top_gap,species
GSE74890,MONDO_0042983,0.0019918935400342,0.2255729507490551,mpn,0.2255729507490551,0.2240678522525118,0.001505098496543289,mouse
GSE74893,MONDO_0002562,0.0366452689923248,0.9407649962391732,"cns,controls,matter,sclerosis,white",0.9407649962391732,0.9393220195801728,0.0014429766590003945,mouse
GSE74900,MONDO_0001657,0.009593978801759,0.216201454105973,lsd1,0.216201454105973,0.1434089782339621,0.0727924758720109,mouse
GSE74920,MONDO_0005336,0.0723487458820861,2.628467965412096,"adult,muscle",2.628467965412096,2.5950806731721245,0.03338729223997161,mouse
GSE74923,MONDO_0011996,0.0188105784251497,0.2029471313921526,"cell,rnaseq",0.2029471313921526,0.0008938698145071,0.2020532615776455,mouse
GSE74938,MONDO_0002032,0.0054123467844496,0.147434496774397,stage,0.147434496774397,0.0890434219232444,0.058391074851152594,mouse
GSE74957,MONDO_0021043,0.0066797224275678,0.1168193301931001,"tumor,tumors",0.1168193301931001,0.0931986114047546,0.0236207187883455,mouse
GSE74961,MONDO_0005372,0.0056868273293416,0.3566070276255484,"spermatogenesis,testicular",0.3566070276255484,0.2634178079475039,0.0931892196780445,mouse
GSE74966,MONDO_0011996,0.0174759802199474,0.0967762969794485,"cell,cells,chromatin,rnaseq,splicing",0.0967762969794485,0.0814313532264219,0.015344943753026613,mouse
GSE74973,MONDO_0005559,0.1163541790445381,0.2440773678112282,"c9orf72,changes,diseases,expanded,expansion,human,mice,neurodegeneration,nuclear,repeat,repeats",0.2440773678112282,0.1845334213864487,0.059543946424779504,mouse
GSE74980,MONDO_0002356,0.1249711291496272,2.315571054111632,"glucose,insulin,pancreatic",2.315571054111632,1.5073743486272035,0.8081967054844283,mouse
GSE74985,MONDO_0005084,0.0810056003745166,0.3736441642975033,"excitatory,gene,hippocampus,neuronal,neurons,pyramidal",0.3736441642975033,0.3352474683320265,0.03839669596547679,mouse
GSE75000,MONDO_0003996,0.6180505368721968,4.341117250357137,"disease,dopaminergic,human,parkinson,pd",4.341117250357137,4.34109113385189,2.6116505247308908e-05,mouse
GSE75001,MONDO_0019755,0.032493539501269,0.5232751420264784,"affected,neural,ntds,tube",0.5232751420264784,0.187568294650879,0.3357068473755994,mouse
GSE75028,MONDO_0015653,0.0062069605268404,0.5958806485507692,temporal,0.5958806485507692,0.5100905634752564,0.08579008507551278,mouse
GSE75038,MONDO_0001657,0.0119045301640732,0.5275109800436312,"brain,lsd1",0.5275109800436312,0.4046452509527123,0.12286572909091886,mouse
GSE75044,MONDO_0005336,0.0166043541962154,0.5050615688771468,"muscle,stem",0.5050615688771468,0.4287186578306243,0.07634291104652252,mouse
GSE75049,MONDO_0002025,0.1623562113233499,0.5580973324527463,"coexpression,cortex,interneurons,mouse,networks",0.5580973324527463,0.5042180630561887,0.05387926939655763,mouse
GSE75054,MONDO_0019052,0.016764102890435,0.0763077433118645,"cells,deficiency,induced,mouse",0.0763077433118645,0.0407887903696792,0.0355189529421853,mouse
GSE75064,MONDO_0005010,0.0057167531509865,0.2567708435613454,coronary,0.2567708435613454,0.1490588113239497,0.10771203223739567,mouse
GSE75066,MONDO_0021148,0.0263037847946182,0.1089662155613929,"early,g1",0.1089662155613929,0.0577735118539643,0.051192703707428594,mouse
GSE75074,MONDO_0001933,0.0178289614240479,0.3702755655129404,islet,0.3702755655129404,0.3594998884613472,0.010775677051593213,mouse
GSE75077,MONDO_0005267,0.105275088316759,2.088821124181389,heart,2.088821124181389,1.88019120615016,0.208629918031229,mouse
GSE75103,MONDO_0005260,0.002477854973609,0.0417640976413119,spectrum,0.0417640976413119,0.0325679415830294,0.0091961560582825,mouse
GSE75104,MONDO_0005260,0.0024788652695864,0.0423522079017961,spectrum,0.0423522079017961,0.0336603877105635,0.008691820191232602,mouse
GSE75105,MONDO_0008056,0.0028842194785199,0.0780965061772687,cns,0.0780965061772687,0.0776182878759058,0.00047821830136289545,mouse
GSE75106,MONDO_0005260,0.002477337451292,0.0414627463237924,spectrum,0.0414627463237924,0.0345973930455227,0.006865353278269697,mouse
GSE75154,MONDO_0002046,0.0025451617024631,0.0927794673935453,"nucleus,regions",0.0927794673935453,0.0862305017722854,0.0065489656212598946,mouse
GSE75176,MONDO_0005618,0.0031049161567528,0.1864394147934882,stress,0.1864394147934882,0.152941008900543,0.0334984058929452,mouse
GSE75192,MONDO_0005093,0.0743818659032902,1.506595482445627,"liver,skin",1.506595482445627,1.4311313921096531,0.07546409033597379,mouse
GSE75210,MONDO_0005148,0.0081694420136565,0.3263007495100272,type,0.3263007495100272,0.3172346258422849,0.009066123667742287,mouse
GSE75219,MONDO_0017128,0.0037433512003195,0.1333029776535264,stromal,0.1333029776535264,0.1031864261093264,0.030116551544199982,mouse
