ID,mondo_id,prob,log2(prob/prior),related_words,top1_score,top2_score,top_gap,species
GSE86884,MONDO_0005240,0.0273930967830604,0.4448298068658544,"cell,kidney",0.4448298068658544,0.3190388161057295,0.1257909907601249,human
GSE86896,MONDO_0007254,0.1747269112750489,1.3332783025352348,"breast,cancer,mcf7",1.3332783025352348,1.3036250829677,0.02965321956753475,human
GSE86906,MONDO_0005090,0.188602567967318,3.1300757910023624,"across,contribution,cortex,derived,disorder,dysfunction,genetic,glial,hipscs,induced,ipsc,schizophrenia,scz,synaptic",3.1300757910023624,3.1298681044455443,0.00020768655681813186,human
GSE86910,MONDO_0015327,0.0071040867750777,0.2881425409340636,mitochondrial,0.2881425409340636,0.275649988693568,0.012492552240495614,human
GSE86931,MONDO_0005336,0.0747806970497173,2.67616587559048,"muscle,skeletal",2.67616587559048,2.5993539502936422,0.07681192529683756,human
GSE86940,MONDO_0005385,0.0356279238159811,0.2766150656888851,"bg,macrophages,monocytes",0.2766150656888851,0.2400823625722033,0.0365327031166818,human
GSE86956,MONDO_0005275,0.3649168148997953,2.80393128163719,"a549,genes,lung",2.80393128163719,2.7469777862813847,0.056953495355805295,human
GSE86958,MONDO_0005061,0.4732858803665752,4.7225713828403215,"adenocarcinoma,lung",4.7225713828403215,4.418713281485233,0.30385810135508873,human
GSE86977,MONDO_0002602,0.592383627029924,0.7879908131164624,"brain,cortical,human,including,multiple,neural,neurons,report,stem,transcriptomic,types",0.7879908131164624,0.7726875460939214,0.015303267022540923,human
GSE86982,MONDO_0002602,0.5917209618358092,0.7863760505387063,"brain,cortical,human,including,multiple,neural,neurons,report,stem,transcriptomic,types",0.7863760505387063,0.7483056854679669,0.038070365070739354,human
GSE86985,MONDO_0002602,0.5918637070981182,0.786724040654576,"brain,cortical,human,including,multiple,neural,neurons,report,stem,transcriptomic,types",0.786724040654576,0.7486818259786853,0.03804221467589075,human
GSE86986,MONDO_0021678,0.0031316842569385,0.0254503876350981,set,0.0254503876350981,0.0008938698145071,0.024556517820591,human
GSE87040,MONDO_0002046,0.0024684259803224,0.048613533260383,regions,0.048613533260383,0.0274536667311928,0.0211598665291902,human
GSE87042,MONDO_0024458,0.0778347004345032,1.853211860629612,"cells,human,retina,retinal,retinoblastoma",1.853211860629612,1.83456906883466,0.018642791794951874,human
GSE87055,MONDO_0015756,0.1897955298108974,1.8608096650991224,"cell,chromatin,differentiation,myeloid",1.8608096650991224,1.7977451262967945,0.06306453880232787,human
GSE87087,MONDO_0008170,0.7484007144933352,5.684920810480865,"cancer,cell,ovarian",5.684920810480865,5.623572066721185,0.06134874375967936,human
GSE87088,MONDO_0002049,0.0014368269150766,0.0767382486260737,runx1,0.0767382486260737,0.0379834121078094,0.0387548365182643,human
GSE87110,MONDO_0005550,0.471717582083725,2.7076515155026883,"epithelial,host,hpi,infected,infection,infections,interferon,response,transcriptional,uninfected",2.7076515155026883,2.235316522825904,0.47233499267678436,human
GSE87167,MONDO_0005283,0.0198502905855527,1.2107279154667103,"pigment,retinal",1.2107279154667103,1.052925452884737,0.1578024625819734,human
GSE87169,MONDO_0021100,0.4226594712017688,2.6129279791176105,"breast,cancer,cells,mdamb231",2.6129279791176105,2.612888905256996,3.907386061463569e-05,human
GSE87186,MONDO_0000314,0.0215638712615216,1.270131847676769,tb,1.270131847676769,1.130476591035206,0.13965525664156297,human
GSE87187,MONDO_0005059,0.1660984535744766,1.0240244209769953,"cells,leukemia,sensitivity",1.0240244209769953,0.9120260046322968,0.11199841634469854,human
GSE87189,MONDO_0044881,0.2062839007608656,0.6102284076516954,"cells,leukemia,treated,treatment",0.6102284076516954,0.577953026161649,0.032275381490046384,human
GSE87194,MONDO_0005090,0.7714046042821151,5.162214228471302,"cortex,dlpfc,postmortem,prefrontal,schizophrenia",5.162214228471302,5.162167615142608,4.6613328693823064e-05,human
GSE87198,MONDO_0005151,0.1864486677470767,0.6511977350677406,"adar1,adar2,aimp2,analysis,editing,sequencing,type",0.6511977350677406,0.4998734282840569,0.1513243067836837,human
GSE87231,MONDO_0019755,0.024638715256308,0.124049269043054,"abnormalities,derived,development,differentiation,embryonic,human,pluripotent,stem",0.124049269043054,0.1219499549728964,0.002099314070157593,human
GSE87237,MONDO_0019755,0.0246334166946536,0.1237389837621272,"abnormalities,derived,development,differentiation,embryonic,human,pluripotent,stem",0.1237389837621272,0.1216978876399647,0.0020410961221625085,human
GSE87240,MONDO_0002515,0.299095607435633,2.8385378513183217,"carcinoma,cells,growth,hepatocellular,hepg2,invasion,liver",2.8385378513183217,2.792209665886084,0.04632818543223749,human
GSE87257,MONDO_0017342,0.0155259718702681,0.3658668203903658,myc,0.3658668203903658,0.3058726641365519,0.05999415625381388,human
GSE87273,MONDO_0003847,0.2814915264242028,0.6968866968080432,"biopsies,human,induced,ipscs,mutation,obtained,patient,pluripotent,repeat,repeats,skin,stem",0.6968866968080432,0.4420669227690442,0.25481977403899897,human
GSE87285,MONDO_0018874,0.3237376704931318,3.416782834678276,"acute,aml,chromatin,differentiation,domain,leukemia,myeloid,runx1,runx1eto,t821,transcription",3.416782834678276,3.290782993504616,0.1259998411736598,human
