ID,child,parent,child_score,parent_score,delta,child_gt_parent
GSE49087,MONDO_0004643,MONDO_0020076,4.069867975284952,3.9822024340941113,0.08766554119084047,True
GSE81421,MONDO_0004643,MONDO_0020076,4.034515230082077,3.889354520305189,0.14516070977688766,True
GSE63312,MONDO_0004643,MONDO_0020076,4.0195457488110975,3.914110964625913,0.1054347841851846,True
GSE49088,MONDO_0004643,MONDO_0020076,3.979349947578416,3.8728632245765056,0.10648672300191064,True
GSE68461,MONDO_0004643,MONDO_0020076,3.958711459058567,3.86633021692377,0.0923812421347967,True
GSE77847,MONDO_0004643,MONDO_0020076,3.882858056432105,3.827043096466702,0.05581495996540298,True
GSE81329,MONDO_0004643,MONDO_0020076,3.882362399922343,3.775029129585644,0.10733327033669893,True
GSE77846,MONDO_0004643,MONDO_0020076,3.877605311067053,3.822754703482306,0.054850607584747024,True
GSE80745,MONDO_0004643,MONDO_0020076,3.857531190045153,3.7985064820176526,0.059024708027500594,True
GSE72737,MONDO_0004643,MONDO_0020076,3.8105499665870095,3.772963981684384,0.03758598490262566,True
GSE79068,MONDO_0004643,MONDO_0020076,3.802417101648878,3.686053789806894,0.11636331184198401,True
GSE97389,MONDO_0004643,MONDO_0020076,3.6669449184197314,3.615488038038202,0.0514568803815294,True
GSE74064,MONDO_0004643,MONDO_0020076,3.634408479710782,3.589191979626073,0.04521650008470868,True
GSE90059,MONDO_0004643,MONDO_0020076,3.620433071999782,3.5436783503672404,0.07675472163254149,True
GSE48048,MONDO_0004643,MONDO_0020076,3.60865429966124,3.695690359205538,-0.08703605954429827,False
GSE90067,MONDO_0004643,MONDO_0020076,3.544643631922829,3.460885645890431,0.08375798603239781,True
GSE85193,MONDO_0004643,MONDO_0020076,3.5428502358349223,3.5903798304688506,-0.04752959463392825,False
GSE71531,MONDO_0004643,MONDO_0020076,3.486975992962321,3.47634142862677,0.010634564335550767,True
GSE74018,MONDO_0004643,MONDO_0020076,3.4540578399765263,3.4234725215515027,0.030585318425023544,True
GSE90655,MONDO_0004643,MONDO_0020076,3.434112736606457,3.273245513027813,0.16086722357864414,True
GSE97450,MONDO_0004643,MONDO_0020076,3.376100346182183,3.171312876248253,0.20478746993393004,True
GSE88905,MONDO_0004643,MONDO_0020076,3.325268884639232,3.1009679253890496,0.22430095925018234,True
GSE90136,MONDO_0004643,MONDO_0020076,3.3007351755624814,3.335620644457554,-0.0348854688950726,False
GSE78691,MONDO_0004643,MONDO_0020076,3.2466583393972632,3.2023088951719085,0.044349444225354695,True
GSE94840,MONDO_0004643,MONDO_0020076,3.1972793743803174,3.174455878326183,0.022823496054134473,True
GSE71185,MONDO_0004643,MONDO_0020076,3.190077309248069,3.195025333740358,-0.004948024492288816,False
GSE57147,MONDO_0004643,MONDO_0020076,3.090287295146952,3.076626577967441,0.013660717179511117,True
GSE87623,MONDO_0004643,MONDO_0020076,2.997606909092132,2.939098590567992,0.05850831852414018,True
GSE65383,MONDO_0004643,MONDO_0020076,2.958760311117844,2.8999969721308703,0.058763338986973945,True
GSE74650,MONDO_0004643,MONDO_0020076,2.9217381606085886,2.910605999288172,0.0111321613204165,True
GSE78224,MONDO_0004643,MONDO_0020076,2.87489735233251,2.878055035821294,-0.003157683488784091,False
GSE68462,MONDO_0004643,MONDO_0020076,2.818657788258204,2.763110336049277,0.055547452208926984,True
GSE96061,MONDO_0004643,MONDO_0020076,2.767862478705855,2.7261248708096697,0.0417376078961853,True
GSE100820,MONDO_0004643,MONDO_0020076,2.727821048045056,2.640726357520841,0.08709469052421515,True
GSE64545,MONDO_0004643,MONDO_0020076,2.541707300475605,2.603153349899424,-0.06144604942381893,False
GSE66793,MONDO_0004643,MONDO_0020076,2.482601817172027,2.4849392550502274,-0.002337437878200177,False
GSE84873,MONDO_0004643,MONDO_0020076,2.4792541801953,2.1908337212361744,0.2884204589591257,True
GSE72628,MONDO_0004643,MONDO_0020076,2.4289213886931647,2.1984755696596534,0.23044581903351125,True
GSE66068,MONDO_0004643,MONDO_0020076,2.347401172491497,2.354139796748416,-0.006738624256918957,False
GSE75580,MONDO_0004643,MONDO_0020076,2.296247240720332,2.1672020222606023,0.1290452184597295,True
GSE63751,MONDO_0004643,MONDO_0020076,2.2926904809018454,2.0255210076609305,0.2671694732409149,True
GSE97078,MONDO_0004643,MONDO_0020076,2.2317308048482367,2.252930661069424,-0.021199856221187474,False
GSE47454,MONDO_0004643,MONDO_0020076,2.220097577780181,2.1976765483632024,0.022421029416978655,True
GSE52623,MONDO_0004643,MONDO_0020076,2.1548568919130977,2.0400012411712742,0.11485565074182347,True
GSE45180,MONDO_0004643,MONDO_0020076,2.113966665458025,2.3171015607414613,-0.2031348952834362,False
GSE74178,MONDO_0004643,MONDO_0020076,2.1013661141111,2.030960914099744,0.07040520001135597,True
GSE74161,MONDO_0004643,MONDO_0020076,2.0716280374730807,2.062983499814456,0.008644537658624607,True
GSE80682,MONDO_0004643,MONDO_0020076,2.0703015706667047,2.055328139845397,0.014973430821307865,True
