ID,child,parent,parent_hit
GSE68358,MONDO_0000618,MONDO_0006116,True
GSE99596,MONDO_0000618,MONDO_0006116,True
GSE81162,MONDO_0000618,MONDO_0006116,True
GSE43726,MONDO_0000618,MONDO_0006116,True
GSE92910,MONDO_0000618,MONDO_0006116,True
GSE45732,MONDO_0000618,MONDO_0006116,True
GSE95375,MONDO_0000618,MONDO_0006116,True
GSE56882,MONDO_0000618,MONDO_0006116,True
GSE103850,MONDO_0000618,MONDO_0006116,True
GSE45419,MONDO_0000618,MONDO_0006116,True
GSE77179,MONDO_0000618,MONDO_0006116,True
GSE56022,MONDO_0000618,MONDO_0006116,True
GSE84577,MONDO_0000618,MONDO_0006116,True
GSE92943,MONDO_0000618,MONDO_0006116,True
GSE107762,MONDO_0000618,MONDO_0006116,True
GSE74718,MONDO_0000618,MONDO_0006116,True
GSE80333,MONDO_0000618,MONDO_0006116,True
GSE74981,MONDO_0000618,MONDO_0006116,True
GSE75168,MONDO_0000618,MONDO_0006116,True
GSE60182,MONDO_0000618,MONDO_0006116,True
GSE67295,MONDO_0000618,MONDO_0006116,True
GSE75741,MONDO_0000618,MONDO_0006116,True
GSE45202,MONDO_0000618,MONDO_0006116,True
GSE75742,MONDO_0000618,MONDO_0006116,True
GSE93562,MONDO_0000618,MONDO_0006116,True
GSE53532,MONDO_0000618,MONDO_0006116,True
GSE58379,MONDO_0000618,MONDO_0006116,True
GSE114725,MONDO_0000618,MONDO_0006116,True
GSE74031,MONDO_0000618,MONDO_0006116,True
GSE71012,MONDO_0000618,MONDO_0006116,True
GSE57914,MONDO_0000618,MONDO_0006116,True
GSE95299,MONDO_0000618,MONDO_0006116,True
GSE85557,MONDO_0000618,MONDO_0006116,False
GSE40591,MONDO_0000618,MONDO_0006116,True
GSE87517,MONDO_0000618,MONDO_0006116,True
GSE99479,MONDO_0000618,MONDO_0006116,True
GSE55807,MONDO_0000618,MONDO_0006116,True
GSE73857,MONDO_0000618,MONDO_0006116,True
GSE80098,MONDO_0000618,MONDO_0006116,True
GSE55005,MONDO_0000618,MONDO_0006116,True
GSE83277,MONDO_0000618,MONDO_0006116,True
GSE53300,MONDO_0000618,MONDO_0006116,True
GSE78285,MONDO_0000618,MONDO_0006116,True
GSE93636,MONDO_0000618,MONDO_0006116,True
GSE62966,MONDO_0000618,MONDO_0006116,True
GSE69125,MONDO_0000618,MONDO_0006116,True
GSE79586,MONDO_0000618,MONDO_0006116,True
GSE81620,MONDO_0000618,MONDO_0006116,True
GSE63721,MONDO_0000618,MONDO_0006116,True
GSE69114,MONDO_0000618,MONDO_0006116,True
GSE73370,MONDO_0000618,MONDO_0006116,True
GSE38790,MONDO_0000618,MONDO_0006116,True
GSE78167,MONDO_0000618,MONDO_0006116,True
GSE68228,MONDO_0000618,MONDO_0006116,True
GSE87169,MONDO_0000618,MONDO_0006116,True
GSE30290,MONDO_0000618,MONDO_0006116,True
GSE22917,MONDO_0000618,MONDO_0006116,True
GSE28866,MONDO_0000618,MONDO_0006116,True
GSE36266,MONDO_0000618,MONDO_0006116,True
GSE75367,MONDO_0000618,MONDO_0006116,True
GSE85857,MONDO_0000618,MONDO_0006116,True
GSE45335,MONDO_0000618,MONDO_0006116,True
GSE57931,MONDO_0000618,MONDO_0006116,True
GSE87701,MONDO_0000618,MONDO_0006116,True
GSE51428,MONDO_0000618,MONDO_0006116,True
GSE57243,MONDO_0000618,MONDO_0006116,True
GSE103001,MONDO_0000618,MONDO_0006116,True
GSE41245,MONDO_0000618,MONDO_0006116,True
GSE75664,MONDO_0000618,MONDO_0006116,True
GSE75369,MONDO_0000618,MONDO_0006116,True
GSE86159,MONDO_0000618,MONDO_0006116,True
GSE63452,MONDO_0000618,MONDO_0006116,True
GSE83611,MONDO_0000618,MONDO_0006116,True
GSE89205,MONDO_0000618,MONDO_0006116,True
GSE71862,MONDO_0000618,MONDO_0006116,True
GSE25291,MONDO_0000618,MONDO_0006116,True
GSE25932,MONDO_0000618,MONDO_0006116,True
GSE84054,MONDO_0000618,MONDO_0006116,True
GSE75070,MONDO_0000618,MONDO_0006116,True
GSE101927,MONDO_0000618,MONDO_0006116,True
GSE58326,MONDO_0000618,MONDO_0006116,True
GSE59531,MONDO_0000618,MONDO_0006116,True
GSE71203,MONDO_0000618,MONDO_0006116,True
GSE100669,MONDO_0000618,MONDO_0006116,True
GSE46164,MONDO_0000621,MONDO_0004992,False
GSE46718,MONDO_0000621,MONDO_0004992,False
GSE101480,MONDO_0000621,MONDO_0004992,False
GSE62190,MONDO_0000621,MONDO_0004992,False
GSE66917,MONDO_0000621,MONDO_0004992,False
GSE52656,MONDO_0000621,MONDO_0004992,False
GSE49642,MONDO_0000621,MONDO_0004992,False
GSE92744,MONDO_0000621,MONDO_0004992,False
GSE84944,MONDO_0000621,MONDO_0004992,False
GSE94461,MONDO_0000621,MONDO_0004992,False
GSE71800,MONDO_0000621,MONDO_0004992,False
GSE72061,MONDO_0000621,MONDO_0004992,False
GSE81328,MONDO_0000621,MONDO_0004992,False
GSE71840,MONDO_0000621,MONDO_0004992,False
GSE97443,MONDO_0000621,MONDO_0004992,False
GSE72041,MONDO_0000621,MONDO_0004992,False
GSE42146,MONDO_0000621,MONDO_0004992,False
GSE71686,MONDO_0000621,MONDO_0004992,False
GSE71689,MONDO_0000621,MONDO_0004992,False
GSE62852,MONDO_0000621,MONDO_0004992,False
GSE74928,MONDO_0000621,MONDO_0004992,False
GSE63646,MONDO_0000621,MONDO_0004992,False
GSE98310,MONDO_0000621,MONDO_0004992,False
GSE85107,MONDO_0000621,MONDO_0004992,False
GSE89511,MONDO_0000621,MONDO_0004992,False
GSE108003,MONDO_0000621,MONDO_0004992,False
GSE114885,MONDO_0000621,MONDO_0004992,False
GSE57478,MONDO_0000621,MONDO_0004992,False
GSE76312,MONDO_0000621,MONDO_0004992,False
GSE86151,MONDO_0000621,MONDO_0004992,False
GSE89777,MONDO_0000621,MONDO_0004992,False
GSE81062,MONDO_0000621,MONDO_0004992,False
GSE86506,MONDO_0000621,MONDO_0004992,False
GSE85008,MONDO_0000621,MONDO_0004992,False
GSE87285,MONDO_0000621,MONDO_0004992,False
GSE46056,MONDO_0000621,MONDO_0004992,False
GSE109673,MONDO_0000621,MONDO_0004992,False
GSE48843,MONDO_0000621,MONDO_0004992,False
GSE68925,MONDO_0000621,MONDO_0004992,False
GSE65235,MONDO_0000621,MONDO_0004992,False
GSE71740,MONDO_0000621,MONDO_0004992,False
GSE83660,MONDO_0000621,MONDO_0004992,False
GSE94344,MONDO_0000621,MONDO_0004992,False
GSE60065,MONDO_0000621,MONDO_0004992,False
GSE63485,MONDO_0000621,MONDO_0004992,False
GSE99293,MONDO_0000621,MONDO_0004992,False
GSE54478,MONDO_0000621,MONDO_0004992,False
GSE84359,MONDO_0000621,MONDO_0004992,False
GSE53665,MONDO_0000621,MONDO_0004992,False
GSE82117,MONDO_0000621,MONDO_0004992,False
GSE83712,MONDO_0000621,MONDO_0004992,False
GSE62000,MONDO_0000621,MONDO_0004992,False
GSE61999,MONDO_0000621,MONDO_0004992,False
GSE67540,MONDO_0000621,MONDO_0004992,False
GSE71541,MONDO_0000621,MONDO_0004992,False
GSE43834,MONDO_0000621,MONDO_0004992,False
GSE94827,MONDO_0000621,MONDO_0004992,False
GSE101923,MONDO_0000621,MONDO_0004992,False
GSE76464,MONDO_0000621,MONDO_0004992,False
GSE49601,MONDO_0000621,MONDO_0004992,False
GSE67519,MONDO_0000621,MONDO_0004992,False
GSE76747,MONDO_0000621,MONDO_0004992,False
GSE75215,MONDO_0000621,MONDO_0004992,False
GSE57982,MONDO_0000621,MONDO_0004992,False
GSE74246,MONDO_0000621,MONDO_0004992,False
GSE80774,MONDO_0000621,MONDO_0004992,False
GSE93395,MONDO_0000621,MONDO_0004992,False
GSE99356,MONDO_0000621,MONDO_0004992,False
GSE76978,MONDO_0000621,MONDO_0004992,False
GSE69678,MONDO_0000621,MONDO_0004992,False
GSE77946,MONDO_0000621,MONDO_0004992,False
GSE85020,MONDO_0000621,MONDO_0004992,False
GSE34740,MONDO_0000621,MONDO_0004992,False
GSE71414,MONDO_0000621,MONDO_0004992,False
GSE71100,MONDO_0000621,MONDO_0004992,False
GSE79872,MONDO_0000621,MONDO_0004992,False
GSE79871,MONDO_0000621,MONDO_0004992,False
GSE70959,MONDO_0000621,MONDO_0004992,False
GSE36866,MONDO_0000621,MONDO_0004992,False
GSE64317,MONDO_0000621,MONDO_0004992,False
GSE97323,MONDO_0000621,MONDO_0004992,False
GSE46044,MONDO_0000621,MONDO_0004992,False
GSE76931,MONDO_0000621,MONDO_0004992,False
GSE103567,MONDO_0000621,MONDO_0004992,False
GSE71299,MONDO_0000621,MONDO_0004992,False
GSE62121,MONDO_0000621,MONDO_0004992,False
GSE83772,MONDO_0000621,MONDO_0004992,False
GSE92494,MONDO_0000621,MONDO_0004992,False
GSE79044,MONDO_0000621,MONDO_0004992,False
GSE87585,MONDO_0000621,MONDO_0004992,False
GSE98623,MONDO_0000621,MONDO_0004992,False
GSE73893,MONDO_0000621,MONDO_0004992,False
GSE79820,MONDO_0000621,MONDO_0004992,False
GSE76203,MONDO_0000621,MONDO_0004992,False
GSE78930,MONDO_0000621,MONDO_0004992,False
GSE87055,MONDO_0000621,MONDO_0004992,False
GSE60477,MONDO_0000621,MONDO_0004992,False
GSE95131,MONDO_0000621,MONDO_0004992,False
GSE56689,MONDO_0000621,MONDO_0004992,False
GSE47997,MONDO_0000621,MONDO_0004992,False
GSE69622,MONDO_0000621,MONDO_0004992,False
GSE56691,MONDO_0000621,MONDO_0004992,False
GSE85187,MONDO_0000621,MONDO_0004992,False
GSE74999,MONDO_0000621,MONDO_0004992,False
GSE96634,MONDO_0000621,MONDO_0004992,False
GSE93877,MONDO_0000621,MONDO_0004992,False
GSE68538,MONDO_0000621,MONDO_0004992,False
GSE93627,MONDO_0000621,MONDO_0004992,False
GSE83142,MONDO_0000621,MONDO_0004992,False
GSE81443,MONDO_0000621,MONDO_0004992,False
GSE43603,MONDO_0000621,MONDO_0004992,False
GSE99825,MONDO_0000621,MONDO_0004992,False
GSE46164,MONDO_0000637,MONDO_0004992,False
GSE46718,MONDO_0000637,MONDO_0004992,False
GSE101480,MONDO_0000637,MONDO_0004992,False
GSE92744,MONDO_0000637,MONDO_0004992,False
GSE94461,MONDO_0000637,MONDO_0004992,False
GSE71800,MONDO_0000637,MONDO_0004992,False
GSE49642,MONDO_0000637,MONDO_0004992,False
GSE62190,MONDO_0000637,MONDO_0004992,False
GSE52656,MONDO_0000637,MONDO_0004992,False
GSE66917,MONDO_0000637,MONDO_0004992,False
GSE72061,MONDO_0000637,MONDO_0004992,False
GSE84944,MONDO_0000637,MONDO_0004992,False
GSE72041,MONDO_0000637,MONDO_0004992,False
GSE71840,MONDO_0000637,MONDO_0004992,False
GSE71686,MONDO_0000637,MONDO_0004992,False
GSE71689,MONDO_0000637,MONDO_0004992,False
GSE42146,MONDO_0000637,MONDO_0004992,False
GSE81328,MONDO_0000637,MONDO_0004992,False
GSE97443,MONDO_0000637,MONDO_0004992,False
GSE63646,MONDO_0000637,MONDO_0004992,False
GSE62852,MONDO_0000637,MONDO_0004992,False
GSE98310,MONDO_0000637,MONDO_0004992,False
GSE85107,MONDO_0000637,MONDO_0004992,False
GSE108003,MONDO_0000637,MONDO_0004992,False
GSE89777,MONDO_0000637,MONDO_0004992,False
GSE76312,MONDO_0000637,MONDO_0004992,False
GSE86506,MONDO_0000637,MONDO_0004992,False
GSE86151,MONDO_0000637,MONDO_0004992,False
GSE46056,MONDO_0000637,MONDO_0004992,False
GSE81062,MONDO_0000637,MONDO_0004992,False
GSE48843,MONDO_0000637,MONDO_0004992,False
GSE87285,MONDO_0000637,MONDO_0004992,False
GSE74928,MONDO_0000637,MONDO_0004992,False
GSE65235,MONDO_0000637,MONDO_0004992,False
GSE85008,MONDO_0000637,MONDO_0004992,False
GSE60065,MONDO_0000637,MONDO_0004992,False
GSE71740,MONDO_0000637,MONDO_0004992,False
GSE68925,MONDO_0000637,MONDO_0004992,False
GSE54478,MONDO_0000637,MONDO_0004992,False
GSE63485,MONDO_0000637,MONDO_0004992,False
GSE94344,MONDO_0000637,MONDO_0004992,False
GSE84359,MONDO_0000637,MONDO_0004992,False
GSE83660,MONDO_0000637,MONDO_0004992,False
GSE71541,MONDO_0000637,MONDO_0004992,False
GSE76464,MONDO_0000637,MONDO_0004992,False
GSE53665,MONDO_0000637,MONDO_0004992,False
GSE75215,MONDO_0000637,MONDO_0004992,False
GSE77946,MONDO_0000637,MONDO_0004992,False
GSE36866,MONDO_0000637,MONDO_0004992,False
GSE80774,MONDO_0000637,MONDO_0004992,False
GSE76747,MONDO_0000637,MONDO_0004992,False
GSE43834,MONDO_0000637,MONDO_0004992,False
GSE62000,MONDO_0000637,MONDO_0004992,False
GSE61999,MONDO_0000637,MONDO_0004992,False
GSE82117,MONDO_0000637,MONDO_0004992,False
GSE98623,MONDO_0000637,MONDO_0004992,False
GSE67519,MONDO_0000637,MONDO_0004992,False
GSE49601,MONDO_0000637,MONDO_0004992,False
GSE57982,MONDO_0000637,MONDO_0004992,False
GSE67540,MONDO_0000637,MONDO_0004992,False
GSE71299,MONDO_0000637,MONDO_0004992,False
GSE79044,MONDO_0000637,MONDO_0004992,False
GSE92494,MONDO_0000637,MONDO_0004992,False
GSE74246,MONDO_0000637,MONDO_0004992,False
GSE46044,MONDO_0000637,MONDO_0004992,False
GSE53844,MONDO_0000637,MONDO_0004992,False
GSE62121,MONDO_0000637,MONDO_0004992,False
GSE45510,MONDO_0000637,MONDO_0004992,False
