ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE48213,GSE98690,MONDO_0004989,MONDO_0002108,4.855190503675422,2.010586524670061,2,2,branch
GSE48403,GSE83991,MONDO_0008315,MONDO_0005061,4.289960853274408,4.212185261618645,3,3,branch
GSE48599,GSE87606,MONDO_0005096,MONDO_0009831,1.881719945064482,3.8988321676811672,2,2,branch
GSE48603,GSE92721,MONDO_0024331,MONDO_0008315,1.5392152048269507,1.7976789285190369,3,3,branch
GSE48843,GSE101994,MONDO_0018874,MONDO_0005494,3.6072535786898334,1.240583036796228,5,5,branch
GSE48850,GSE66551,MONDO_0002108,MONDO_0009831,4.187343312308942,1.0520368705015588,2,2,branch
GSE49155,GSE72990,MONDO_0005096,MONDO_0009831,3.152061261265032,1.7560335187735931,2,2,branch
GSE49642,GSE76123,MONDO_0018874,MONDO_0011996,4.616381718519622,1.719477574446753,5,5,branch
GSE49994,GSE81424,MONDO_0018531,MONDO_0008315,3.551001541921765,4.392281107165073,3,3,branch
GSE50760,GSE70046,MONDO_0005008,MONDO_0005061,4.592505812402711,3.8686145352827466,3,3,branch
GSE51005,GSE76033,MONDO_0008315,MONDO_0005061,3.36540171742098,3.425567720763131,3,3,branch
GSE51428,GSE76075,MONDO_0004989,MONDO_0007254,3.0457230622233262,2.630105572809785,2,2,branch
GSE51827,GSE81316,MONDO_0004989,MONDO_0005836,3.8350741815257785,2.8703165758395035,2,2,branch
GSE52036,GSE54113,MONDO_0007254,MONDO_0002108,1.2453240493115012,1.2030454559135486,2,2,branch
GSE52194,GSE58801,MONDO_0006116,MONDO_0010150,4.992426516717609,1.0162090860446864,3,3,branch
GSE52248,GSE51144,MONDO_0005061,MONDO_0005233,2.702346360499714,4.537982504584051,3,3,branch
GSE52367,GSE60982,MONDO_0002715,MONDO_0007256,2.000181488229545,4.465482733123085,3,3,branch
GSE52643,GSE81316,MONDO_0004989,MONDO_0005836,4.362478385173078,2.8703165758395035,2,2,branch
GSE52656,GSE101994,MONDO_0018874,MONDO_0005494,4.616381718519622,1.240583036796228,5,5,branch
GSE52687,GSE87388,MONDO_0007254,MONDO_0009831,1.9451253739886545,5.446786066050785,2,2,branch
GSE52695,GSE90116,MONDO_0001416,MONDO_0009831,2.471918650080675,2.764781132837785,2,2,branch
GSE53300,GSE40171,MONDO_0004989,MONDO_0009831,3.294684944173555,3.4669804046272645,2,2,branch
GSE53370,GSE108811,MONDO_0004989,MONDO_0009831,1.8457751678341527,3.840439309773752,2,2,branch
GSE53470,GSE71629,MONDO_0008315,MONDO_0005061,2.719387851111295,1.8148397617804053,3,3,branch
GSE53499,GSE71531,MONDO_0011996,MONDO_0018874,1.4040260070904087,3.81124235629158,5,5,branch
GSE53532,GSE84703,MONDO_0004989,MONDO_0002129,4.629905691579089,2.05281174578392,2,2,branch
GSE54074,GSE77323,MONDO_0024331,MONDO_0007256,1.5108933657364243,4.396689055356394,3,3,branch
GSE54159,GSE83991,MONDO_0015459,MONDO_0005061,3.3374741525664287,4.212185261618645,3,3,branch
GSE54392,GSE75589,MONDO_0007254,MONDO_0100342,1.070653648496031,3.8467304571481216,2,2,branch
GSE54478,GSE76123,MONDO_0018874,MONDO_0011996,3.1140350646078163,1.719477574446753,5,5,branch
GSE54734,GSE45893,MONDO_0005089,MONDO_0005627,1.8115493845994013,1.750375230156051,1,1,branch
GSE55005,GSE90625,MONDO_0007254,MONDO_0009831,2.687812491429446,2.094764112928915,2,2,branch
GSE55807,GSE85648,MONDO_0004989,MONDO_0002108,3.7277718030381055,2.447948055629205,2,2,branch
GSE55922,GSE92301,MONDO_0004989,MONDO_0005159,1.3549079218940343,5.507770747563734,2,2,branch
GSE56022,GSE83651,MONDO_0006116,MONDO_0008315,1.9076558869898408,4.108459122180579,3,3,branch
GSE56660,GSE67270,MONDO_0005814,MONDO_0001056,3.3132626831655743,1.5909888213065515,2,2,branch
