gse	pmid	subseries	superseries	affiliation	BioProject	SRA
GSE102183	28826504; 35479411	['GSE89939']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396941']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114702']
GSE102185	27994142				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396939']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114701']
GSE102188					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396947']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114707']
GSE102215	28931754				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397036']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114762']
GSE102244	28874392				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397077']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114793']
GSE102246	28864682				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397080']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114792']
GSE102283	29093487				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397215']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114864']
GSE102305		['GSE102306']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397388']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114936']
GSE102349	28851814; 39744943				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397538']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115011']
GSE102392	29021400; 30621044				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397646']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115076']
GSE102460	29129929				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397793']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115151']
GSE102467	29141209				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397908']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115222']
GSE102476	28960747				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397844']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115188']
GSE102492	29046677				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397874']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115201']
GSE102560		['GSE102561']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398038']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115304']
GSE102616	29429977; 31515496				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398222']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115395']
GSE102628	28899689				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398238']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115672']
GSE102639	29045843				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398256']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115415']
GSE102652					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398270']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115427']
GSE102676	29051608				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398369']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115476']
GSE102702	28864533				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398471']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115520']
GSE102718					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398501']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115541']
GSE102728	29712771; 33082707				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398510']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115557']
GSE102737	29765414				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398528']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115565']
GSE102741	28485729				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398545']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115571']
GSE102762	29757189	['GSE102763']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398638']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115628']
GSE102796	28963538; 30076409				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399115']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115797']
GSE102798					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399113']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115805']
GSE102812	29255294; 32242220				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399103']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115815']
GSE102838	28970473				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399077']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115847']
GSE102860	29126429				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399135']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115899']
GSE102864	29057934				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399134']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115901']
GSE102870	30271901; 32327693; 35650273				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399137']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115904']
GSE102875	28924976				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399146']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115908']
GSE102893	28733371				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399181']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115916']
GSE102902	29079839; 33684213	['GSE102904']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399193']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115921']
GSE102910	29385522				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399262']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115925']
GSE102923					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399284']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115931']
GSE102924	28874392				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399336']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115932']
