child,parent
MONDO_0005517,MONDO_0021310
MONDO_0006468,MONDO_0005617
MONDO_0016684,MONDO_0020633
MONDO_0016696,MONDO_0020633
MONDO_0006468,MONDO_0015075
MONDO_0015447,MONDO_0015075
MONDO_0024622,MONDO_0015075
MONDO_0006519,MONDO_0005575
MONDO_0021063,MONDO_0005575
MONDO_0024331,MONDO_0005575
MONDO_0006639,MONDO_0021312
MONDO_0008380,MONDO_0004338
MONDO_0015459,MONDO_0021315
MONDO_0016681,MONDO_0002501
MONDO_0016682,MONDO_0002501
MONDO_0016684,MONDO_0016680
MONDO_0018177,MONDO_0016680
MONDO_0016695,MONDO_0018744
MONDO_0016696,MONDO_0018744
MONDO_0016696,MONDO_0021640
MONDO_0018078,MONDO_0024637
MONDO_0019087,MONDO_0018536
MONDO_0020076,MONDO_0021138
MONDO_0024878,MONDO_0024881
MONDO_0024880,MONDO_0024881
MONDO_0024879,MONDO_0024878
MONDO_0024879,MONDO_0024880
MONDO_0044710,MONDO_0023644
MONDO_0044925,MONDO_0023644
