gse_1,gse_2,jaccard,containment,overlap_count,shared_cuis,title_1,title_2,comparison
GSE90463,GSE33921,0.217391304347826,0.4166666666666667,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Age-Related Gene Expression Changes in Prostate Cancer Patients [RNA-Seq],RNA-Seq from two-cell (2C) stage embryos,human_mouse
GSE90463,GSE93591,0.217391304347826,0.4166666666666667,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Age-Related Gene Expression Changes in Prostate Cancer Patients [RNA-Seq],Widespread epistasis regulates glucose homeostasis and gene expression,human_mouse
GSE90874,GSE93374,0.217391304347826,0.625,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression and 4sUDRB-seq for NF90/NF110 of human scramble and KD HeLa cells.,A Molecular Census of Arcuate Hypothalamus and Median Eminence Cell Types,human_mouse
GSE93620,GSE101596,0.217391304347826,0.625,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression in HT-29-MTX intestinal epithelial cells treated with Ancylostoma ceylanicum hookworm larvae,Transcriptome analysis of fasted mouse livers,human_mouse
GSE93620,GSE101732,0.217391304347826,0.625,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression in HT-29-MTX intestinal epithelial cells treated with Ancylostoma ceylanicum hookworm larvae,RNA-sequencing of Mbd3-null and control haematopoietic stem cell and lymphoid progenitor cell populations,human_mouse
GSE93620,GSE57654,0.217391304347826,0.625,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression in HT-29-MTX intestinal epithelial cells treated with Ancylostoma ceylanicum hookworm larvae,Gene expression by RNA_Seq,human_mouse
GSE93620,GSE60050,0.217391304347826,0.625,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression in HT-29-MTX intestinal epithelial cells treated with Ancylostoma ceylanicum hookworm larvae,Gene expression alteration in Dnmt3aKO-Idh2 mutant double mutant HSPCs,human_mouse
GSE93620,GSE63031,0.217391304347826,0.625,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression in HT-29-MTX intestinal epithelial cells treated with Ancylostoma ceylanicum hookworm larvae,Transcriptome profiling of brown adipose tissue during cold exposure,human_mouse
GSE94296,GSE116177,0.217391304347826,0.4545454545454545,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Transcriptomic profiling of human pluripotent stem cell derived ROR1+ cells,Haemopedia: Mouse Haematopoietic Gene Expression,human_mouse
GSE50721,GSE84357,0.216867469879518,0.72,18,"['C0007634', 'C0008972', 'C0017262', 'C0017337', 'C0018017', 'C0079429', 'C0557651', 'C0752248', 'C0947630', 'C1171362', 'C1417679', 'C1515670', 'C1705923', 'C2603343', 'C4086963', 'C4760607', 'C5237010', 'C5444885']",Whole transcriptome profiling of the two major subtypes of diffuse large B cell lymphoma,RNA-seq of Asxl2 KO LSK cells,human_mouse
GSE79564,GSE97195,0.216867469879518,0.4615384615384615,18,"['C0002778', 'C0025663', 'C0025664', 'C0162801', 'C0449851', 'C0871511', 'C0872262', 'C0920317', 'C0936012', 'C1294197', 'C1511726', 'C1524024', 'C1546437', 'C1561491', 'C3245479', 'C3714741', 'C4086963', 'C4760607']",Input Strategy for Improving Analysis of ChIP-exo Data and Beyond [RNA-Seq],Deep sequencing and high-throughput analysis of PIWI-associated small RNAs,human_mouse
GSE89152,GSE68156,0.216867469879518,0.3673469387755102,18,"['C0008972', 'C0014597', 'C0017262', 'C0039798', 'C0087111', 'C0185117', 'C0205263', 'C0221908', 'C0557651', 'C0947630', 'C1522326', 'C1533734', 'C1705169', 'C1705923', 'C2603343', 'C2911684', 'C3854321', 'C4699379']",Transcriptome of EMT induced MCF10A cells by TGFb treatment or SNAIL S6A expression.,Determination of the influence of caNrf2 expression and/or Dextran Sulfate Sodium treatment on genome wide mRNA expression in whole colon wall or colon epithelial cells,human_mouse
GSE97033,GSE29278,0.2167832167832167,0.4246575342465753,31,"['C0005940', 'C0007350', 'C0007634', 'C0008972', 'C0011435', 'C0012634', 'C0017262', 'C0017263', 'C0017428', 'C0028877', 'C0029896', 'C0035201', 'C0086222', 'C0086418', 'C0086860', 'C0185117', 'C0243107', 'C0449475', 'C0557651', 'C0678723', 'C0947630', 'C1145628', 'C1160700', 'C1306040', 'C1517486', 'C1527148', 'C1705923', 'C2338314', 'C2603343', 'C2700616', 'C4318409']",Cell Type-Specific Chromatin Signatures Underline Regulatory DNA Elements in Human Induced Pluripotent Stem Cells and Somatic Cells,A draft map of cis-regulatory sequences in the mouse genome [RNA-Seq],human_mouse
